  Comments,Ankon,Rizvi,Sourov,FinalTag
দেশপ্রেম বলতে এখন আর কিছুই নেই।,Sadness,Sadness,Sadness,Sadness
এভাবেই একদিন দেশটা চুরি হয়ে ভারত হয়ে যাবে,Fear,Fear,Fear,Fear
ঐসব কালো বাজারীদের কঠিন শাস্তি কামনা করছি। ওরা দেশ ও জাতির শত্রু,Anger,Anger,Anger,Anger
এমন নির্লজ্জ মহিলা দুনিয়ায় আর একটা আছে কিনা সন্দেহ আছে।,Anger,Anger,Anger,Anger
এই যদি হয় প্রথম ধারার সংবাদপত্রের নিউজ তাহলে নিজেকে নিজেই থাপড়ানো ছাড়ানো মনের রাগ মেটানো অসম্ভব।,Anger,Anger,Anger,Anger
"যাঁরা নিজেদের মৌলবাদ জন্ম দিয়ে দেশে শিক্ষকের অসন্মান করেছন তাঁরা দেশের বোঝা, কাপুরুষের দল।",Anger,Anger,Anger,Anger
লোক দেখানো শ্রদ্ধার চেয়ে প্রাপ্য সম্মানটুকু দিলেই ওনার মতো অনেকেই যারা রয়েছেন তারা অন্তত নিজ সম্মান নিয়ে সগৌরবে চলতে পারেন,Sadness,Sadness,Sadness,Sadness
হায়রে সোনার বাংলা বড়ই অদ্ভুত!!জুতার মালায় বিদায় করে দিয়ে আবার ফুলের মালায় বরণ সবই সম্ভব।,Disgust,Disgust,Disgust,Disgust
ছোট দেশ হিসেবে বেপক সামরিক শক্তি দেখে অবাক লাগছে,Surprise,Surprise,Surprise,Surprise
এমনিতেই রাশিয়া ইউক্রেন যুদ্ধে জনজীবন বিপর্যস্ত। এই সময়ে এরা আবার শুরু করছে ফাইজলামি।হায়রে মানুষ খমতার জন্য কত কিছুই না করে।,Sadness,Sadness,Sadness,Sadness
তার যে পাওয়ার হিটিং স্কিল এবং বড় রানের ইনিংস খেলতে পারার সামর্থ্য আছে তাতে নাম্বার ওয়ান হলেও অবাক হবো না,Happiness,Happiness,Happiness,Happiness
"এই ঘটনা স্পষ্ট প্রমাণ করে যে, প্রকৃত মেধাবীরা অনিয়ম, দুর্নীতির কারণে সুযোগ বঞ্চিত হয়, পিছিয়ে থাকে।",Sadness,Sadness,Sadness,Sadness
সত্যিই লোকটা অনেক মেধাবী ছিল।,Happiness,Happiness,Happiness,Happiness
ওরা মিথ্যা বলে আর তোমরা সত্য বাদি যুধিষ্ঠির ,Anger,Anger,Anger,Anger
সাথে জড়িত চোর গুলো তো দেশের সম্মানিত ব্যক্তি,Disgust,Disgust,Disgust,Disgust
এইসব ধ্বংস করে কি হবে!! যদি মাদক চোরা চালানকারী এবং সেবনকারীদের কঠোর হস্তে দমন করা না হয়,Disgust,Disgust,Disgust,Disgust
ধ্বংস না করে গরীব মদখোর দের দান করা উচিত ছিল।,Disgust,Disgust,Disgust,Disgust
এগুলো নষ্ট নাহ করে বিদেশে বিক্রি করলে দেশে অনেক বৈদেশিক মুদ্রা আসতো!,Sadness,Sadness,Sadness,Sadness
সব কিছুই বোঝলাম কিন্তু দেশের এই টাকা গুলি যে বাহিরের দেশে চলে গেলো এই ঘাটতি টা কিভাবে পূরন হবে তা কি কেও ভাবে কখনো?,Sadness,Sadness,Sadness,Sadness
আমরা দেখতে চাই সুইচ রাষ্ট্রদূতের বিরুদ্ধে কি ব্যবস্থা নেওয়া হয় মিথ্যা বলে সোনার বাংলার কলংক লেপনের জন্য।,Anger,Anger,Anger,Anger
আমার ছোট মাথায় ঘুরে ঘুরে একটাই প্রশ্ন আসে সকল সীমান্তে যদি কঠোরভাবে সীমান্তরক্ষী থাকে তাহলে এত মাদক বাংলাদেশে কিভাবে  আসে ?,Disgust,Disgust,Disgust,Disgust
ধ্বংস যাদের করা উচিৎ তাঁদের না করে এসব মাদকদ্রব্য ধ্বংস করে কোনো লাভ হবে না। এইসব মাদকদ্রব্য ধ্বংস করে কখনোই মাদক নিয়ন্ত্রণ সম্ভব নয়।,Sadness,Disgust,Sadness,Sadness
মানুষের রিজিক নষ্ট করার কোন অধিকার নেই ওদের এটা অন্যায় ,Sadness,Disgust,Disgust,Disgust
এমন আরো অভিযান চালিয়ে যুব সমাজকে মাদকের কালো ছায়া থেকে রক্ষা করা হোক। ,Anger,Happiness,Happiness,Happiness
এই ভাবে আমার দেশের অর্থ নষ্ট করার কোনো যুক্তি আছে বলে আমি মনে করছি না।,Disgust,Disgust,Disgust,Disgust
দেশের প্রচুর অর্থনৈতিক ঘাটতি এগুলো বাইরে বিক্রি করে দিলে দেশের টাকা হতো,Sadness,Sadness,Sadness,Sadness
দুঃখজনক!! তরুণ সমাজের কি দূর্দশা,Sadness,Sadness,Sadness,Sadness
দেশের অর্থনীতির ব্যাপক ক্ষতি সাধন করা হলো। এর কারণে অর্থনীতির ওপর প্রভাব ফেলতে পারে।,Fear,Fear,Fear,Fear
ইসলামিক আইন ব্যাবস্থা চালু হলে সব দুর্নীতি বন্ধ হয়ে যাবে ইনশাআল্লাহ,Happiness,Happiness,Happiness,Happiness
"ভালো খবর, এখন হয়তো মারামারি একটু কমবে।",Happiness,Happiness,Happiness,Happiness
খাবার জিনিস ধ্বংস করলো একদিন ঠিকই খাদ্য অভাবে পড়বে বাংলাদেশ,Fear,Fear,Fear,Fear
বর্ডারে নিরাপত্তা ব্যবস্থা আরও জোরদার করা হোক!,Anger,Anger,Anger,Anger
মাদকের সাথে কোনো আপোষ নাই.. যে বা যারা মাদকের সাথে জড়িত তাদের কঠোর শাস্তির আওতায় এনে জনসম্মুখে ভয়াবহ শাস্তির ব্যবস্থা করা হোক,Anger,Anger,Anger,Anger
আহ দেশের অর্থনৈতিক এই দুর্দশার মধ্যে এতগুলো টাকা নষ্ট করার পক্ষে আমি না।,Disgust,Disgust,Disgust,Disgust
"বন্ধুত্ব জীবনের অন্যতম একটি অধ্যায়, ভালো থাকুক পৃথিবীর সকল বন্ধু",Happiness,Happiness,Happiness,Happiness
"বন্ধু,  যাদের সাথে রক্তের কোনো সম্পর্ক নেই কিন্তু তার থেকেও বেশি",Happiness,Happiness,Happiness,Happiness
বর্তমান সময়ে এসে আমার বান্ধবী দের অনেক মিস করি। ভালো থাকুক সবাই,Happiness,Happiness,Happiness,Happiness
ছেলেদের বন্ধুত্ব গুলো সুন্দর হয়,Happiness,Happiness,Happiness,Happiness
"সত্যিকারের বন্ধুত্ব কখনো শেষ হয়না,শত অভিমান,অভিযোগ জয় করে বেঁচে থাকে হাজার বছর",Happiness,Happiness,Happiness,Happiness
"ভালো থাকুক তারা, যাদের বন্ধু তাদের সবসময় তাদের পাশে আছে",Happiness,Happiness,Happiness,Happiness
এমন কিছু বন্ধু থাকলে জীবনে আর কী লাগে।,Happiness,Happiness,Happiness,Happiness
"আমারো এমন একটা বন্ধু ছিল, কিন্তু দুঃখের বিষয় হলো ঐ বন্ধুটা আর বেঁচে নেই",Sadness,Sadness,Sadness,Sadness
আমি আমার বন্ধুদের মন জয় করার চেষ্টা করি সবসময়  তারপরও আমি তাদের চোখে খারাপ।,Sadness,Sadness,Sadness,Sadness
জীবন একটা সময় আসে যেখানে কোন বন্ধুত্ব থাকে না..নিজের বন্ধু নিজেই হতে হয় তখন,Sadness,Sadness,Sadness,Sadness
কাউকে সরিয়ে কেউ উপড়ে উঠতে পারে না।,Disgust,Disgust,Disgust,Disgust
এতো হিংসা কেনরে ভাই ,Disgust,Disgust,Disgust,Disgust
বেশি ভাব দেখায় পরে দেখা যাবে এটাই প্রথম ছবি এটাই শেষ ছবি,Disgust,Disgust,Disgust,Disgust
এটা একধরনের ছোটলোকি।,Disgust,Disgust,Disgust,Disgust
আমার মন চাইতেছে এরকম আচরণের কারণে তার বিরুদ্ধে মামলা করতে।,Anger,Anger,Anger,Anger
অনেক বড় নায়িকা মনে করছে নিজেকে তিনি,Disgust,Disgust,Disgust,Disgust
বাংলা সিনেমায় হিংসাত্মক মনোভাব টা ভালোই জমে উঠেছে,Happiness,Disgust,Disgust,Disgust
এতো অহংকার নিয়ে বেশিদিন টিকতে পারবে না।,Disgust,Disgust,Disgust,Disgust
হঠাৎ নায়িকা হলে যা হয় আর কি।আসছে এক্কেরে বিশ্ব সুন্দরী টা। ছাগল মহিলা,Disgust,Disgust,Disgust,Disgust
এই মহিলার চোখে মুখে এত দাম্ভিকতা,Fear,Fear,Fear,Fear
"হিংসে খুব খারাপ জিনিস, হিংসে করে কেউ কখনো উপড়ে উঠতে পারে না, ভালোবাসা দিলেই ভালোবাসা পাওয়া যায়",Sadness,Sadness,Sadness,Sadness
"আমাদের দেশের মানুষের এই একটাই সমস্যা, একটু উপরে উঠতে না উঠতেই যেনো মাটিতে পা পরেনা, একটুতেই অনেক উপরে উড়া শুরু করে",Disgust,Disgust,Disgust,Disgust
"এই মেয়ের পারিবারিক শিক্ষা নেই, তাই ওর হয়তো অনেক বেশি দৃষ্টি ভঙ্গি পরিবর্তন দরকার।।",Disgust,Disgust,Disgust,Disgust
একজন ভালো মানুষের চরিত্র এমন হতে পারে না।,Sadness,Sadness,Sadness,Sadness
যারা এসব নাটক প্রচার করে এদের উৎসাহিত করছে তারাই দায়ী।,Disgust,Disgust,Disgust,Disgust
সংস্কৃতি নামে অপসংস্কৃতি!,Disgust,Disgust,Disgust,Disgust
ধন্যবাদ জানাই  এরকম একটি বাস্তব মুখী প্রতিবেদন প্রচার করার জন্য ।,Happiness,Happiness,Happiness,Happiness
অশালীন সংলাপ ও পোশাক বর্তমানে আমাদের বিপদে ফেলেছে।,Sadness,Sadness,Sadness,Sadness
"শুধু ভাষা ঠিক মত উচ্চারণ না করতে পারার কারণে হিরো আলমকে থানায় যেতে হয়,মুচলেকা দিতে হয়। তাহলে এদেরকে ও আইনের কাঠগড়ায় দাঁড়ানো হউক",Anger,Anger,Anger,Anger
এখন বাংলা নাটক দেখা ছেরে দিয়েছি,Sadness,Sadness,Sadness,Sadness
"ব্যাচেলর পয়েন্ট,, নাটকের সবচেয়ে বেশি খারাপ শব্দ ব্যবহার করা হয়েছে,",Disgust,Disgust,Disgust,Disgust
সুস্থ নাটক দেখতে চাইলে সালাউদ্দিন লাভলু আর বৃন্দাবন দাসের পরিচালনার নাটক সেরা,Happiness,Happiness,Happiness,Happiness
এরা সমাজ ধংস করার মূল কারিগর ,Disgust,Disgust,Disgust,Disgust
"১৫ বছর আগে মানুষ হলে ছবি দেখতে গিয়ে লজ্জা পাইতো অশ্লীল সিনের কারণে, আর এখন মানুষ নাটক দেখে লজ্জা পায় মুখের ভাষার কারণে",Disgust,Disgust,Disgust,Disgust
"হুমায়ুন আহমেদের নাটক এবং সিনেমা যেমন সুন্দর ছিলো তেমনি শিক্ষনিয় ছিলো,",Happiness,Happiness,Happiness,Happiness
এখোনকার নাটকের সংলাপ হচ্ছে শুধু বদমাইশি। যা দেখে ভবিষ্যত প্রজন্ম কিছু শিক্ষতে পারবেনা কখনো,Sadness,Sadness,Sadness,Sadness
সরকারের উচিত এইসব নষ্টামির বিরুদ্ধে আইন বেধে দেয়া,Anger,Anger,Anger,Anger
আগের নাটকের মধ্যে থাকা কথাগুলো সংলাপ গুলো এবং অভিনয়গুলো যেন আমাদের এখনো মন কেড়ে নেয় আমাদেরকে জানান দিতো যে আমাদের সংস্কৃতি কত সুন্দর ,Happiness,Happiness,Happiness,Happiness
আমাদের নাটকগুলো আগের মত সুন্দর হোক যাতে আমরা নাটক থেকে কিছু শিখতে পারি ,Happiness,Happiness,Happiness,Happiness
বন্ধ করা হোক এসব নাটক সিনেমা।,Anger,Anger,Anger,Anger
সত্যিই কথা বলতে গেলে নাটকে আধুনিকতা মুখোমুখি করতে গিয়ে নিজেদের সংস্কৃতি ভুলে গিয়েছে,Sadness,Sadness,Sadness,Sadness
"আঞ্চলিক ভাষা ব্যাবহার করা সমস্যার কিছু নয় কিন্তু অশালীন ভাষার ব্যাবহার নাটক, সিনেমা ধ্বংসের অন্যতম কারন।",Disgust,Sadness,Disgust,Disgust
এখনকার নাটকগুলো ফ্যামিলি নিয়ে একসাথে দেখা প্রায় অসম্ভব,Sadness,Sadness,Sadness,Sadness
বিনোদনের নামে অসুস্থ বিনোদন দেয়া হচ্ছে।,Disgust,Disgust,Disgust,Disgust
একটা সময় মানুষ বাংলা চলচ্চিত্রের মত নাটক থেকেও মুখ ফিরিয়ে নিবে। সেদিন আর বেশি দূরে নয়। ,Disgust,Disgust,Disgust,Disgust
"আচ্ছা কিভাবে আমাদের এই সোনার বাংলাদেশ উন্নত হবে। চোর বাটপার চিটার, সন্ত্রাস বর্তমান মাফিয়া সরকার লালিত-পালিত করতেছে । এই সরকার দিয়ে দেশের কি উন্নত হবে ?",Disgust,Disgust,Disgust,Disgust
অনেক কষ্ট হয় এই সমস্ত কাজ কারবার দেখে ,Sadness,Disgust,Anger,Sadness
"ঠিকাদারের দোষ দিয়ে লাভ নাই।এ নেতা,সে নেতা,পাতি নেতা,সেলফি নেতাদের দিতে দিতে দেখেন ঠিকাদার দেউলিয়া হয়ে গেছে।",Disgust,Sadness,Disgust,Disgust
যে ছেড়ে যায় সে কখনো আপনজন ছিলো নাহ.,Sadness,Sadness,Sadness,Sadness
ভালোবাসা সুন্দর যদি সেটা সত্যি মন থেকে কাউকে বেসে থাকো,Happiness,Happiness,Happiness,Happiness
জীবনের সবকিছু ছেড়ে দেওয়া যায় কিন্তু মায়া আর ভালোবাসা ছেড়ে দেওয়া যায় না,Sadness,Sadness,Sadness,Sadness
কখনো মানুষের জিবনে এমন এটা সময় আসে যখন পরিবারের জন্য প্রিয় মানুষ কে ছাড়তে হয় না হলে পরিবারকে ছাড়তে হয় প্রিয় মানুুষের জন্য,Sadness,Sadness,Sadness,Sadness
"আসলে ভালবাসা সুন্দর, যদি দুইটা মানুষ সুন্দর ভাবে বুঝে",Happiness,Happiness,Happiness,Happiness
মানুষ যখন ছেড়ে চলে যায় তখন আগের দেয়া সব কথা ভুলে যায়,Sadness,Sadness,Sadness,Sadness
সত্যিই তুমি সবার থেকে অন্য রকম যাকে ভালবাসা দিয়ে জয় করতে চেয়েছিলাম সবার থেকে আলাদা করে দেখতাম ভাবতাম বুঝবে কিন্তু দিন শেষে অবহেলিত হয়ে রইলাম ভাল থেকো সব সময়,Sadness,Sadness,Sadness,Sadness
ভালোবাসায় অনেক জ্বালা। একটা লাইফ বরবাদ করে দেয় নিমিষেই।,Sadness,Sadness,Sadness,Sadness
হয়তো একটু বেশি ভালোবাসি তাই ভালোবাসার মানুষটাকে আগলে রাখি।,Happiness,Happiness,Happiness,Happiness
ছেড়েই যখন যাবে তখন মানুষ ভালোবাসে কেন,Sadness,Sadness,Sadness,Sadness
"এইরকম সম্পর্ক থাকলে, একসাথে মরেও শান্তি পাওয়া যায়।",Happiness,Happiness,Happiness,Happiness
প্রিয়ো মানুষগুলোর প্রতি সম্মানটা একটু বেশি থাকে সবসময়।,Happiness,Happiness,Happiness,Happiness
তুমিই আমার সেই সুহাসিনী যাকে আমি কখনোই পাবো না,Sadness,Sadness,Sadness,Sadness
আজ আমিও একজনকে খুব মিস করতেছি যে আমার পুরো পৃথিবী ছিলো।,Sadness,Sadness,Sadness,Sadness
গানটা অনেক সুন্দর স্মৃতি নিয়ে আছে আমার মনে,Happiness,Happiness,Sadness,Happiness
সব স্বপ্ন তো আর পূরণ হয় না,Sadness,Sadness,Sadness,Sadness
"যেভাবে মাছ ধরা হচ্ছে ,নদী মাছ শুন্য হয়ে যাবে।",Fear,Fear,Fear,Fear
ভূমিকম্পের পূর্বাভাস নয় তো?,Fear,Fear,Fear,Fear
পরিবেশ দূষণ এর ফল ।আমাদের এখনি আরো সচেতন হতে হবে না হলে মাছের প্রজাতি ধ্বংস হয়ে যাবে,Sadness,Sadness,Sadness,Sadness
আমাদের বাড়ির পাশে অথচ আমরা জানলাম না জনলে তো আমরা বন্ধরাও যেতাম মাছ ধরতে,Sadness,Sadness,Sadness,Sadness
"নদী খনন করা হয়েছে, বৃষ্টি না হওয়ায় নদীতে পানি নেই বললেই চলে।",Sadness,Sadness,Sadness,Sadness
এই নদীর পানি মারাত্মক দূষণের শিকার হয়েছে।,Sadness,Sadness,Sadness,Sadness
আমরাও গিয়েছিলাম মাছ ধরতে কিন্তুু পায়নি,Sadness,Sadness,Sadness,Sadness
খুশি হওয়ার কিছুই নেই। ক্ষণিকের খুশি আজীবন ক্ষতি।,Sadness,Sadness,Sadness,Sadness
ভয়াবহ নদী দূষণ! এমনিতেই আমাদের চুয়াডাঙ্গা অঞ্চলে নদী-নালা কম। যা আছে সেগুলোও ঠিকমতো রক্ষণাবেক্ষণ করা হয় না।,Fear,Fear,Fear,Fear
মানুষ যে কত অভাবে আছে এই দৃশ্য দেখে বোঝা যায়। শত শত মানুষ হামলে পরেছে।,Sadness,Sadness,Sadness,Sadness
কোন অসাধু জেলে বেশি মাছ এক সাথে পাওয়ার আশায় নদীতে বিষ প্রয়োগ করতে পারে। ,Disgust,Disgust,Disgust,Disgust
এরকম প্রতিভাবান কৃষি উদ্যোগতাকে পুরস্কৃত করার বদলে তিরস্কার করা মোটেও উচিত হয় নাই,Sadness,Sadness,Sadness,Sadness
এতো প্রতিভা ভালো কাজে লাগালে দেশের উন্নয়ন হতো।,Sadness,Sadness,Sadness,Sadness
কত বিশেষজ্ঞ দেখলাম কিন্তু মাদক বিশেষজ্ঞ আছে এটাত জানতাম না,Surprise,Surprise,Surprise,Surprise
দেশ একজন গবেষক হারালো,Sadness,Sadness,Sadness,Sadness
"দেশের অর্থনীতিতে অবদান রাখতে চায় মনে হয়, তাই এতো পরিশ্রম করছে ",Happiness,Happiness,Happiness,Happiness
তাইত! এত্তো সাহস ঐ বেটি পায় কোথায়,Anger,Anger,Anger,Anger
আরেকটা প্রতিভার অবমূল্যায়ন। খুবই দুঃখজনক ,Sadness,Sadness,Happiness,Sadness
তাকে উদ্যোক্তা হওয়ার সুযোগ দেওয়া হোক। যাতে উন্নত বিশ্বে রপ্তানি করে দেশের অর্থনীতিতে আবদান রাখতে পারে,Happiness,Happiness,Happiness,Happiness
"এর তো দেখছি কৃষির প্রতি প্রচুর আগ্রহ,ঘরের মধ্যে সব কিছু করে ফেলছে।
একে দিয়ে মাঠে নিয়ে কৃষি কাজে লাগানো যেতে পারে",Happiness,Happiness,Happiness,Happiness
শুধু বাংলাদেশ বলে আজ একটা তরুণ উদ্যোক্তা কে থামিয়ে দেওয়া হল,Sadness,Sadness,Sadness,Sadness
একজন সফল উদ্যোক্তার স্বপ্ন নষ্ট করে দিলেন,Disgust,Disgust,Disgust,Disgust
"আসলে এসব দেখে মজা নিলেও আমাদের সমাজ ব্যবস্থা, ভবিষ্যৎ প্রজন্মের কথা চিন্তা করলে ভীষণ খারাপ লাগে",Sadness,Sadness,Sadness,Sadness
এই মেয়ের বিরুদ্ধে আইনি ব্যবস্থা নেয়া উচিৎ। প্রতারণাসহ অন্যান্য।,Anger,Anger,Anger,Anger
"আজকে যদি ছেলেটা ইন্ডিয়া না হয়ে আমেরিকা কিংবা ইউরোপের কোনো দেশের হতো,তাহলে তাদের প্রেমও সফল হতো।",Sadness,Sadness,Sadness,Sadness
মন মানুষিকতা কতটা নোংরা হলে কারো কষ্টে মানুষের হাসি পায়!!,Disgust,Disgust,Disgust,Disgust
"খুব করুন কাহিনি,আল্লাহ পাক এই ছেলের মনে ধৈর্য ধারন করার ক্ষমতা দিন।",Sadness,Sadness,Sadness,Sadness
কিছু ভালোবাসা দূর থেকে সুন্দর।ফিরে যান তামিলনাডু তে।মন থেকে ভালোবাসলে কষ্ট পেতে হয়,Sadness,Sadness,Sadness,Sadness
এই মেয়ের জন্য ছেলেটার মেয়ের প্রতি বিশ্বাস উঠে যাবে। এগুলো ঠিক নয়,Sadness,Sadness,Sadness,Sadness
বাংলাদেশ সম্পর্কে একটা বাজে অভিজ্ঞতা নিয়া গেলো,Sadness,Sadness,Sadness,Sadness
"আরে ভাই.. বাংলার মেয়ে বলে কথা, এদের প্রেম টেম কিছু নেই, আছে শুধু স্বার্থ আর অভিনয়।",Disgust,Disgust,Disgust,Disgust
একটা মানুষ কতটা প্রকৃতভাবে ভালোবাসলে তামিলনাড়ু থেকে বরিশাল আসে?,Surprise,Surprise,Surprise,Surprise
একটা মানুষ কতটা প্রকৃতভাবে ভালোবাসলে তামিলনাড়ু থেকে বরিশাল আসে? সুন্দরী মেয়ের কি অভাব ছিল ওখানে? আসলেই বেইমানদের শাস্তি হওয়া দরকার,Anger,Anger,Anger,Anger
মেয়েরা কখনো সঠিক প্রেমের মূল্যায়ন করতে জানে না,Sadness,Sadness,Sadness,Sadness
চেন্নাইয়ের তামিলনাডুর লোকজন অনেক অসাধারণ তাদের ব্যবহার মন মুগ্ধকর প্রত্যেকটি মানুষ খুব হেল্পফুল আমি অনেকদিন তামিলনাড়ুতে ছিলাম।,Happiness,Sadness,Happiness,Happiness
"এই মেয়ে ও তার ফ্যামিলি কে প্রতরণা ও ভিনদেশিদের কাছে দেশের ভাবমূর্তি নষ্ট করার দায়ে আইনত ব্যবস্থা নেয়া উচিৎ,",Anger,Anger,Anger,Anger
"ভালোবাসা ছাড়া কখনোই একটা মানুষ দেশ পার হয়ে বিদেশে আসে নাহ,",Sadness,Sadness,Sadness,Sadness
এসব মেয়েরা তো বরিশালের নাম ডুবাবে অন্য দেশের পুরুষ কে ভাগায় নিয়ে আসতে দ্বিধাবোধ করে না,Disgust,Disgust,Disgust,Disgust
বর্তমানে বাংলাদেশের মেয়েরা বিদেশ থেকে প্রেমিক আমদানিতে সবদেশের থেকে এগিয়ে রয়েছে,Sarcasm,Sarcasm,Sarcasm,Sarcasm
লোভী মেয়েটি ঠিকই তাকে গ্রহণ করতো যদি সে ইউরোপ অথবা আমেরিকা থেকে আসতো।,Disgust,Disgust,Disgust,Disgust
"একজন বিদেশি নাগরিকের কাছে আমাদের দেশের মানসম্মান ক্ষুন্ন হচ্ছে,",Sadness,Sadness,Sadness,Sadness
দুঃখ!!! উনি যদি আমাদের দেশে বরিশাইল্লাদের ক্যাটেগরি জানতেন তাহলে হয়তো কোনোদিনি এভাবে ছুটে আসতেন না,Sadness,Sadness,Sadness,Sadness
বাংলাদেশের জন্য লজ্জার ব্যাপার এটা। ভালবাসার অপমান। ,Sadness,Sadness,Sadness,Sadness
আবারো প্রমাণ হলো বর্তমানের বেশিরভাগ মেয়েরা বারোভাতারি।,Disgust,Disgust,Disgust,Disgust
বতমানে সময়ে ভালোবাসা কোনো মূল্য নেই। টাকা আর সুন্দর চেহারা থাকলে ভালোবাসা হয়।,Sadness,Sadness,Sadness,Sadness
বর্তমানে পুরুষদের কাছ থেকে এরকম ভালোবাসা চিন্তা করা যায় না। ভাইকে মন থেকে সালাম।ওর ভালোবাসায় আমাদের শিক্ষা নেওয়া উচিত। ,Happiness,Happiness,Happiness,Happiness
যাক মাঝে মাঝে ব্যতিক্রম কিছু দেখতে পাওয়া যায়।,Happiness,Happiness,Happiness,Happiness
আফসোস আমার প্রেমের টানে কেউ আসলো না,Sadness,Sadness,Sadness,Sadness
অন্য একটি দেশের ছেলেকে আমাদের দেশে এনে তার মোবাইল এবং টাকা পয়সা ছিনিয়ে নেওয়া এটা দেশের ভাবমূর্তি ক্ষুন্ন হয়েছে।,Sadness,Sadness,Sadness,Sadness
এভাবেই ভারতকে শিক্ষা দিতে হবে।,Anger,Anger,Anger,Anger
কতটা নিচু আর বেয়াদব একজন ভিনদেশি মানুষের সাথে এমন নোংরা আচরণ কিভাবে করতে পারলো।,Disgust,Disgust,Disgust,Disgust
আহারে বেচারা কতো আশা নিয়া আসছিল ,Sadness,Sadness,Sadness,Sadness
মানুষের সরল মনে দুঃখ দিতে নেই। আহারে!,Sadness,Sadness,Sadness,Sadness
কিছু মেয়ের জন্য সব মেয়েদের এরকম শূনতে হয়,Disgust,Disgust,Disgust,Disgust
শাড়িতে ওনাকে অনেক মিষ্টি লেগেছে,Happiness,Happiness,Happiness,Happiness
ভাই বিপদের সময় এতোটুকু বুদ্ধিও অনেক কিছু সেলুট ভাই,Happiness,Happiness,Happiness,Happiness
দেশে ভালো মানুষ চেয়ে ও অমানুষ বেশি,Disgust,Disgust,Disgust,Disgust
"ঘটনা ঘটে, অভিযোগ হয়, গ্রেফতারও হয় কিন্তু ভিক্টিমরা কি তাদের সেই হারানো জিনিস গুলো ফিরে পায়?",Disgust,Disgust,Disgust,Disgust
দুই বছর আগে নরসিংদী কালি বাজার থেকে আমার এক পরিচিত মহিলার কাছ থেকে সব নিয়ে গিয়েছিলো কৌশলে,Fear,Sadness,Sadness,Sadness
একের পর এক এরা এভাবেই নিঃস্ব করে সব নিয়ে যাচ্ছে মানুষের কাছ থেকে আর পুলিশওয়ালারা কিছুই করতে পারতেছে না।,Sadness,Sadness,Sadness,Sadness
আমার দুইটি মোবাইল হারিয়ে গেল এ পর্যন্ত কোন খোঁজ খবর পেলাম জেনারেল ডায়েরি করা হয়েছিল,Sadness,Sadness,Sadness,Sadness
বিশ্বের প্রায় সবগুলি সমস্যার মূল এই যুক্তরাষ্ট্র।,Anger,Anger,Anger,Anger
"ওদের ধর্ম এটাই , দেশে দেশে যুদ্ধ লাগিয়ে ফায়দা হাসিল করা",Disgust,Disgust,Disgust,Disgust
"আমেরিকার কাজ কাম দেখলে মনে হয়, এরা ইচ্ছা করেই দুনিয়ায় অশান্তি লাগিয়ে রাখতে চাচ্ছে, অশান্তি এমনে বা লাগলে জোর করে লাগাচ্ছে।",Disgust,Disgust,Disgust,Disgust
"অনেক অনেক ধন্যবাদ, পুলিশ ভাইদের, এত তারাতাড়ি আসামি ধরার জন্য।",Happiness,Happiness,Happiness,Happiness
এক চোর আরেক চোরের পক্ষে রায় দিলো। ,Disgust,Disgust,Disgust,Disgust
দেশ যেভাবে চোরদের দখলে চলে গেছে সেই হিসাবে তিনিই হবেন যোগ্য শিক্ষিকা!!,Disgust,Disgust,Disgust,Disgust
"যেমন দেশের শিক্ষা ব্যবস্থা, তেমন এদেশের শিক্ষক শিক্ষিকা, আর তেমনি আমাদের বিচার ব্যবস্থা।",Disgust,Disgust,Disgust,Disgust
ঢাকা বিশ্ববিদ্যালয়ের মান-সম্মান যতটুকু বাকি আছে তাও আজ যেতে বসছে এসব চোর-দালালদের কারণে।,Anger,Anger,Anger,Anger
"চৌর্যবৃত্তির মতো এতবড় একটা অপরাধ করেও কী করে একজন শিক্ষক তার পদে বহাল হতে পারবে এটা চিন্তাও করা যায়না। বাংলাদেশের বিশ্ববিদ্যালয় বলেই সম্ভব, বাইরের দেশে এটা অকল্পনীয় ব্যাপার।",Disgust,Disgust,Disgust,Disgust
"যেমন দেশ, তেমন আদালত আর রায়, সেটা তো তেমনই হবে নাকি,?",Disgust,Disgust,Disgust,Disgust
এদের মতো শিক্ষক ও শিক্ষিকা আছে বলে ঢাকা বিশ্ববিদ্যালয়ের এতো করুন অবস্থা,Sadness,Sadness,Sadness,Sadness
অবশেষে আদালত ও চোরের পক্ষ নিয়েছে।,Disgust,Disgust,Disgust,Disgust
চোরের মা আদালতের বড় গলা,Disgust,Disgust,Disgust,Disgust
এই মহিলাকে দেখলেই মেজাজটা খারাপ হয়ে যায়,Anger,Anger,Anger,Anger
চমেৎকার! চোরদের পুনর্বাসন শুরু হয়ে গেছে।,Disgust,Disgust,Disgust,Disgust
দেশের অনৈতিক সরকার ব্যাবস্থার প্রভাবেই তার এই নৈতিক অবক্ষয়।,Sadness,Sadness,Sadness,Sadness
"ইনিই ক্লাসে গিয়ে শিক্ষা দিবে গবেষণা শেখাবে, কিভাবে শর্টকাটে পিএইচডি করা যায় সেটা শেখাবে, হাইস্যকর এটা হাইস্যকর।",Disgust,Disgust,Disgust,Disgust
এরকম চুন্নির ক্লাসে উপস্থিত ছাত্ররা নিশ্চয় অসস্তি বোধ করবেন।,Disgust,Disgust,Disgust,Disgust
